,登録名,チーム2018,WHIP2018,WHIP2017,WHIP2016,WHIP2015,WHIP2014,WHIP2013,WHIP2012,WHIP2011,WHIP2010,WHIP2009
51,小林　慶祐,オリックス,2.78,1.25,,,,,,,,
772,田村　丈,DeNA,3.00,,,,,,,,,
738,南川　忠亮,西武,3.21,2.14,1.75,,,,,,,
180,本田　圭佑,西武,3.43,1.70,1.93,,,,,,,
148,中塚　駿太,西武,3.50,4.50,,,,,,,,
227,戸村　健次,楽天,4.00,1.50,1.38,1.46,1.69,1.34,1.63,1.57,1.90,
598,寺島　成輝,ヤクルト,4.00,2.67,,,,,,,,
537,福永　春吾,阪神,4.00,3.25,,,,,,,,
627,大隣　憲司,ロッテ,4.20,2.73,1.0,1.04,0.87,1.22,1.09,0.75,1.44,1.43
395,村中　恭兵,ヤクルト,4.50,1.30,1.51,,1.29,1.74,1.49,1.26,1.38,1.72
660,髙田　萌生,巨人,4.50,,,,,,,,,
0,木村　雄太,,,,,,,,1.50,0.94,,
1,今井　啓介,,,1.80,,1.00,2.18,1.37,1.25,1.35,1.61,1.16
2,ペン,,,,,,,,1.38,1.23,1.32,
3,藤田　宗一,,,,,,,,,1.61,,1.21
4,ピント,,,,,,,,2.18,,,
8,ソーサ,,,,,,2.07,1.19,1.15,,,
9,武田　久,,,1.91,2.77,,2.74,1.69,1.38,0.78,1.40,1.13
10,コーリー,,,,,,,,,,1.47,
11,甲藤　啓介,,,,,,,,1.58,,1.17,0.90
12,朴　贊浩,,,,,,,,,1.33,,
13,石井　弘寿,,,,,,,,,0.0,,
14,金伏　ウーゴ,,,,,5.00,,,,,,
15,飯田　優也,,,1.48,1.22,1.26,1.30,,,,,
16,高木　啓充,,,,,,,,,,1.15,1.02
17,牧田　和久,,,1.02,0.89,1.36,1.29,1.25,1.19,0.95,,
18,植松　優友,,,,,2.25,,,,,,
21,若竹　竜士,,,,,,,,2.57,2.0,2.17,
22,柳瀬　明宏,,,6.60,2.0,1.55,1.13,1.02,,,,3.25
24,小山　伸一郎,,,,,-,1.82,1.31,1.11,1.09,1.21,1.19
26,スタンリッジ,,,1.58,1.31,1.34,1.24,1.29,1.19,1.21,1.25,
27,大沼　幸二,,,,,,,,,1.97,1.71,1.35
28,ジョーダン,,,1.17,1.36,,,,,,,
29,コズロースキー,,,,,,,,,,,9.00
32,菊沢　竜佑,,,2.33,,,,,,,,
33,石井　一久,,,,,,,1.69,1.28,1.32,1.33,1.38
34,高橋　尚成,,,,,2.16,,,,,,1.27
35,久保田　智之,,,,,,,1.43,1.33,1.66,1.09,3.86
36,王　溢正,,,,,,,,2.10,,,
37,岩崎　哲也,,,,,,,,,2.57,2.40,1.58
38,牛田　成樹,,,,,,,,2.14,1.14,1.08,1.83
41,コーク,,,1.69,,,,,,,,
43,セドン,,,,,,1.50,,,,,
44,朝倉　健太,,,,,2.31,1.37,2.40,1.50,2.0,1.67,1.35
45,長谷川　潤,,,,2.05,,,,,,,
47,宮本　賢,,,,,,,,,,-,1.43
49,山本　斉,,,,,,,,,1.62,3.50,1.17
54,藤原　紘通,,,,,,,,,3.0,2.51,1.31
56,モリーヨ,,,,,,,,,,1.20,
57,松山　傑,,,,,,,,,,2.00,
58,ギルメット,,,1.17,,,,,,,,
61,武藤　好貴,,,,2.0,1.61,1.45,,1.29,,,
62,江村　将也,,,,,,1.34,1.65,,,,
64,ザラテ,,,,,,,2.40,,,,
66,須永　英輝,,,,,1.50,12.00,,,,1.84,1.56
68,伊藤　剛,,,,,,,,,,,0.00
69,ルイス,,,,,,,,,,,0.99
70,ポーリーノ,,,,1.57,,,,,,,
71,高橋　建,,,,,,,,,,1.87,
72,柳川　洋平,,,,,,,,,0.71,,
73,森本　将太,,,,,4.00,,1.93,,,,
75,木谷　良平,,,,4.5,2.00,1.69,1.28,,,,
77,河原　純一,,,,,,,,,1.33,1.36,1.00
82,矢貫　俊之,,,,1.45,,1.37,1.34,1.47,1.4,1.59,
83,ペニー,,,,,,,,3.00,,,
84,ユウキ,,,,,,,,,,0.00,1.39
85,サンチェス,,,,,,,,,1.71,,
88,ブロードウェイ,,,,1.5,,,,,,,
89,西原　圭大,,,,2.6,1.29,1.71,,,,,
90,黒沢　翔太,,,2.50,1.67,1.38,2.00,,,,,
91,Ｍ．中村,,,,,,,,,,,1.55
92,石井　裕也,,,1.83,0.92,1.29,2.28,1.48,0.82,1.11,0.94,1.46
