,登録名,チーム2018,勝利2018,勝利2017,勝利2016,勝利2015,勝利2014,勝利2013,勝利2012,勝利2011,勝利2010,勝利2009
57,加藤　幹典,,,,,,,,,0.0,1.0,0.0
59,クルーズ,,,,,1.0,2.0,,,,,
60,若竹　竜士,,,,,,,,0.0,0.0,0.0,
61,小嶋　達也,,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0
62,朝井　秀樹,,,,,,,,,,,0.0
63,セプティモ,,,,0.0,,,,,,,
64,小島　心二郎,,,,,,,,,,0.0,
65,加藤　拓也,,,1.0,,,,,,,,
67,ジョーダン,,,6.0,6.0,,,,,,,
68,武田　久,,,0.0,0.0,,0.0,2.0,4.0,2.0,1.0,3.0
69,メンデス,,,0.0,,,,,,,,
71,片山　博視,,,,,,0.0,3.0,0.0,2.0,1.0,
72,フェルナンデス,,,,,,,,1.0,,,
74,中里　篤史,,,,,,,,,,0.0,0.0
75,山本　一徳,,,,,,,,,1.0,0.0,0.0
76,ルブラン,,,,,2.0,,,,,,
83,アコスタ,,,,,,,1.0,,,,
85,齊藤　悠葵,,,,,,,,2.0,,4.0,9.0
86,清水　直行,,,,,,,,,2.0,10.0,6.0
87,ケッペル,,,,,,,2.0,0.0,14.0,12.0,
88,相澤　寿聡,,,,,,,,,0.0,0.0,
90,ロンドン,,,0.0,,,,,,,,
91,王　溢正,,,,,,,,0.0,,,
92,中郷　大樹,,,,,,1.0,2.0,3.0,0.0,,0.0
93,横山　龍之介,,,,,,,,,,0.0,
94,コズロースキー,,,,,,,,,,,0.0
96,バース,,,,8.0,,,,,,,
97,ミンチェ,,,,,,,0.0,0.0,6.0,,
98,アルバラデホ,,,,,,,,,2.0,,
100,川崎　貴弘,,,,,,,0.0,,,,
102,シコースキー,,,,,,,,,0.0,2.0,8.0
103,ドイル,,,,,,,,1.0,,,
