ID,順位2018,選手名2018,チーム2018,防御率2018,試合2018,勝利2018,敗北2018,セlブ2018,ホlルド2018,勝率2018,打者2018,投球回2018,被安打2018,被本塁打2018,与四球2018,与死球2018,奪三振2018,失点2018,自責点2018,WHIP2018,DIPS2018
277,234,高橋　樹也,広島,6.00,7,0,0,1,1,0.0,56,12.0,18,4,3,0,10,9,8,1.75,6.29
459,234,髙橋　光成,西武,6.00,2,1,1,0,0,0.5,55,12.0,13,2,6,1,7,8,8,1.58,5.87
202,234,大竹　寛,巨人,6.00,2,1,1,0,0,0.5,42,9.0,13,2,2,0,5,6,6,1.67,5.56
42,234,松田　遼馬,ソフトバンク,6.00,2,0,0,0,0,0.0,14,3.0,2,0,3,0,6,2,2,1.67,2.12
592,240,京山　将弥,DeNA,6.20,11,5,5,0,0,0.5,229,49.1,57,8,32,1,35,35,34,1.80,5.82
40,240,松葉　貴大,オリックス,6.20,5,1,0,0,0,1.0,90,20.1,24,4,8,0,8,14,14,1.57,6.07
855,242,飯田　哲矢,広島,6.23,14,0,0,0,0,0.0,62,13.0,17,3,6,0,16,9,9,1.77,4.81
493,242,国吉　佑樹,DeNA,6.23,12,0,0,0,1,0.0,61,13.0,15,2,8,0,13,9,9,1.77,4.97
315,242,ウルキデス,ヤクルト,6.23,4,0,0,0,0,0.0,20,4.1,5,0,1,0,3,5,3,1.38,2.43
258,245,篠原　慎平,巨人,6.30,7,0,0,0,0,0.0,47,10.0,17,2,2,0,2,7,7,1.90,5.92
30,245,藤井　皓哉,広島,6.30,6,1,0,0,0,1.0,48,10.0,14,2,5,0,14,7,7,1.90,4.12
819,247,藤浪　晋太郎,阪神,6.34,9,2,3,0,0,0.4,210,44.0,49,1,34,1,43,34,31,1.89,3.85
906,248,武藤　祐太,DeNA,6.46,20,0,0,0,4,0.0,101,23.2,20,4,12,2,15,17,17,1.35,5.70
757,249,伊藤　和雄,阪神,6.52,9,0,1,0,0,0.0,45,9.2,6,1,8,0,12,8,7,1.45,4.46
767,250,今永　昇太,DeNA,6.62,14,3,9,0,0,0.25,332,70.2,85,15,32,4,62,65,52,1.66,5.44
542,251,中村　祐太,広島,6.63,7,3,4,0,0,0.429,171,36.2,42,6,19,5,22,28,27,1.66,5.93
424,252,平田　真吾,DeNA,6.66,17,0,0,0,0,0.0,116,25.2,35,3,6,0,27,19,19,1.60,3.24
846,253,増田　達至,西武,6.75,31,0,4,11,2,0.0,137,28.0,42,4,9,1,14,22,21,1.82,4.83
326,253,中澤　雅人,ヤクルト,6.75,33,0,0,0,9,0.0,117,26.2,29,4,6,2,21,20,20,1.31,4.40
373,253,福山　博之,楽天,6.75,21,1,2,0,3,0.33299999999999996,100,21.1,28,1,14,0,4,16,16,1.97,4.90
876,253,岡田　俊哉,中日,6.75,22,0,0,0,4,0.0,81,16.0,22,2,12,0,11,13,12,2.13,5.62
476,253,館山　昌平,ヤクルト,6.75,4,0,3,0,0,0.0,79,16.0,25,2,7,1,11,16,12,2.00,4.87
390,253,マテオ,阪神,6.75,17,0,1,0,4,0.0,73,14.2,19,2,11,1,13,11,11,2.05,5.37
544,253,齋藤　綱記,オリックス,6.75,4,0,0,0,0,0.0,10,2.2,0,0,1,1,3,2,2,0.38,3.12
145,260,又吉　克樹,中日,6.81,36,2,5,0,9,0.28600000000000003,160,35.2,48,5,13,1,24,27,27,1.71,4.77
323,261,近藤　弘樹,楽天,6.83,9,0,2,0,0,0.0,130,29.0,35,5,9,1,15,22,22,1.52,5.26
95,261,鍬原　拓也,巨人,6.83,6,1,2,0,0,0.33299999999999996,123,27.2,23,6,17,3,35,22,21,1.45,5.47
377,263,大石　達也,西武,7.00,10,1,0,0,2,1.0,43,9.0,12,2,4,1,7,8,7,1.78,6.12
101,264,笠谷　俊介,ソフトバンク,7.04,9,0,1,0,0,0.0,39,7.2,11,1,6,0,4,6,6,2.22,6.12
472,265,高橋　奎二,ヤクルト,7.20,1,0,0,0,0,0.0,24,5.0,6,2,3,0,5,5,4,1.80,8.12
586,266,田島　慎二,中日,7.22,30,0,4,15,1,0.0,134,28.2,30,4,18,2,13,23,23,1.67,5.81
